CTOPP.rln.raw,CTOPP.rln.ss.4,CTOPP.rln.p.4,CTOPP.rln.ss.4.4,CTOPP.rln.p.4.4,CTOPP.rln.ss.4.8,CTOPP.rln.p.4.8,CTOPP.rln.ss.5,CTOPP.rln.p.5,CTOPP.rln.ss.5.6,CTOPP.rln.p.5.6,CTOPP.rln.ss.6,CTOPP.rln.p.6,CTOPP.rln.ss.6.6,CTOPP.rln.p.6.6,CTOPP.rln.ss.7,CTOPP.rln.p.7,CTOPP.rln.ss.7.6,CTOPP.rln.p.7.6,CTOPP.rln.ss.8,CTOPP.rln.p.8,CTOPP.rln.ss.9,CTOPP.rln.p.9,CTOPP.rln.ss.10,CTOPP.rln.p.10,CTOPP.rln.ss.11,CTOPP.rln.p.11,CTOPP.rln.ss.12,CTOPP.rln.p.12,CTOPP.rln.ss.13,CTOPP.rln.p.13,CTOPP.rln.ss.14,CTOPP.rln.p.14,CTOPP.rln.ss.15,CTOPP.rln.p.15
N/A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
81,8,25,8,25,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
80,9,37,8,25,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
79,9,37,8,25,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,1,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78,9,37,9,37,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
77,9,37,9,37,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
76,9,37,9,37,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
75,9,37,9,37,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
74,9,37,9,37,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73,10,50,9,37,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
72,10,50,9,37,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
71,10,50,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,1,<1,-,-,-,-,-,-,-,-,-,-,-,-
70,10,50,10,50,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-
69,10,50,10,50,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-
68,10,50,10,50,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-
67,11,63,10,50,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-
66,11,63,10,50,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-
65,11,63,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,1,<1,-,-,-,-,-,-,-,-,-,-
64,11,63,11,63,10,50,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-
63,11,63,11,63,10,50,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-
62,11,63,11,63,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-
61,11,63,11,63,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-
60,12,75,11,63,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-
59,12,75,11,63,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-
58,12,75,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-
57,12,75,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-
56,12,75,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-
55,12,75,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,1,<1,-,-,-,-,-,-,-,-
54,12,75,12,75,11,63,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-
53,13,84,12,75,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-
52,13,84,12,75,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-
51,13,84,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-
50,13,84,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-
49,13,84,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-
48,13,84,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-
47,14,91,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-
46,14,91,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-
45,14,91,14,91,13,84,12,75,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,1,<1,-,-,-,-,-,-
44,14,91,14,91,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-
43,14,91,14,91,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-
42,14,91,14,91,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-
41,14,91,14,91,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-
40,14,91,14,91,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-
39,14,91,14,91,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-
38,14,91,14,91,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-
37,14,91,14,91,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-
36,15,95,14,91,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-
35,15,95,14,91,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,1,<1,-,-,-,-
34,15,95,15,95,14,91,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-
33,15,95,15,95,14,91,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-
32,15,95,15,95,14,91,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-
31,15,95,15,95,14,91,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-
30,15,95,15,95,14,91,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-
29,15,95,15,95,14,91,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-
28,16,98,15,95,14,91,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-
27,16,98,15,95,14,91,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,1,<1,-,-
26,16,98,16,98,15,95,14,91,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-
25,16,98,16,98,15,95,14,91,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-
24,16,98,16,98,15,95,14,91,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,1,<1
23,16,98,16,98,15,95,14,91,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,2,<1
22,16,98,16,98,15,95,14,91,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,3,1,2,<1
21,17,99,16,98,15,95,14,91,14,91,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1
20,17,99,16,98,15,95,14,91,14,91,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1
19,17,99,17,99,16,98,15,95,14,91,13,84,12,75,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1
18,17,99,17,99,16,98,15,95,14,91,13,84,12,75,12,75,11,63,10,50,9,37,8,25,7,16,6,9,6,9,5,5,4,2
17,17,99,17,99,16,98,15,95,14,91,13,84,13,84,12,75,12,75,11,63,10,50,9,37,8,25,7,16,7,16,6,9,5,5
16,18,>99,17,99,16,98,15,95,14,91,14,91,13,84,12,75,12,75,12,75,11,63,10,50,9,37,8,25,8,25,7,16,6,9
15,18,>99,17,99,16,98,15,95,14,91,14,91,13,84,13,84,13,84,13,84,12,75,11,63,10,50,9,37,9,37,8,25,7,16
14,19,>99,18,>99,17,99,16,98,15,95,15,95,14,91,14,91,14,91,14,91,13,84,12,75,11,63,10,50,10,50,9,37,8,25
13,20,>99,19,>99,18,>99,17,99,16,98,16,98,15,95,15,95,15,95,14,91,13,84,13,84,12,75,11,63,11,63,10,50,9,37
12,-,-,20,>99,19,>99,18,>99,17,99,17,99,16,98,16,98,16,98,15,95,14,91,13,84,13,84,12,75,12,75,11,63,10,50
11,-,-,-,-,20,>99,19,>99,18,>99,18,>99,17,99,17,99,17,99,16,98,15,95,14,91,14,91,13,84,13,84,12,75,11,63
10,-,-,-,-,-,-,20,>99,19,>99,19,>99,18,>99,18,>99,18,>99,17,99,16,98,15,95,15,95,14,91,14,91,13,84,12,75
9,-,-,-,-,-,-,-,-,20,>99,20,>99,19,>99,19,>99,18,>99,17,99,16,98,16,98,16,98,15,95,15,95,14,91,13,84
8,-,-,-,-,-,-,-,-,-,-,-,-,20,>99,20,>99,19,>99,18,>99,17,99,17,99,17,99,16,98,16,98,15,95,14,91
7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,>99,19,>99,18,>99,18,>99,18,>99,17,99,17,99,16,98,15,95
6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,>99,19,>99,19,>99,18,>99,18,>99,17,99,16,98
5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,>99,20,>99,20,>99,19,>99,19,>99,18,>99,17,99
