TOWRE.index,TOWRE.sum
53,110
53,111
54,112
54,113
55,114
55,115
56,116
56,117
57,118
57,119
58,120
58,121
59,122
59,123
60,124
60,125
61,126
62,127
62,128
63,129
63,130
64,131
64,132
65,133
65,134
66,135
66,136
67,137
67,138
68,139
68,140
69,141
69,142
70,143
71,144
71,145
72,146
72,147
73,148
73,149
74,150
74,151
75,152
75,153
76,154
76,155
77,156
77,157
78,158
78,159
79,160
79,161
80,162
81,163
81,164
82,165
82,166
83,167
83,168
84,169
84,170
85,171
85,172
86,173
86,174
87,175
87,176
88,177
88,178
89,179
90,180
90,181
91,182
91,183
92,184
92,185
93,186
93,187
94,188
94,189
95,190
95,191
96,192
96,193
97,194
97,195
98,196
98,197
99,198
100,199
100,200
101,201
101,202
102,203
102,204
103,205
103,206
104,207
104,208
105,209
105,210
106,211
106,212
107,213
107,214
108,215
108,216
109,217
110,218
110,219
111,220
111,221
112,222
112,223
113,224
113,225
114,226
114,227
115,228
115,229
116,230
116,231
117,232
117,233
118,234
119,235
119,236
120,237
120,238
121,239
121,240
122,241
122,242
123,243
123,244
124,245
124,246
125,247
125,248
126,249
126,250
127,251
127,252
128,253
129,254
129,255
130,256
130,257
131,258
131,259
132,260
132,261
133,262
133,263
134,264
134,265
135,266
135,267
136,268
136,269
137,270
138,271
138,272
139,273
139,274
140,275
140,276
141,277
141,278
142,279
142,280
143,281
143,282
144,283
144,284
145,285
145,286
146,287
146,288
147,289
147,290
